종목코드,종목명,적용시작일,WICS대,WICS중,WICS소,KRX섹터,산업분류
350520,이지스레지던스리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
351320,넥사다이내믹스,2026-07-01,IT,디스플레이,디스플레이장비및부품,,특수 목적용 기계 제조업
351330,이삭엔지니어링,2026-07-01,IT,소프트웨어와서비스,IT서비스,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
351870,차이커뮤니케이션,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,광고,,광고업
352090,스톰테크,2026-07-01,경기관련소비재,내구소비재와의류,가정용기기와용품,,플라스틱제품 제조업
352480,씨앤씨인터내셔널,2026-07-01,경기관련소비재,내구소비재와의류,화장품,,기타 화학제품 제조업
352700,씨앤투스,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,화학섬유 제조업
352770,셀레스트라,2026-07-01,건강관리,제약과생물공학,생물공학,,기타 과학기술 서비스업
352820,하이브,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트,KRX K콘텐츠,오디오물 출판 및 원판 녹음업
352910,오비고,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
352940,인바이오,2026-07-01,소재,소재,화학,,"비료, 농약 및 살균, 살충제 제조업"
353190,휴럼,2026-07-01,건강관리,건강관리장비와서비스,건강관리업체및서비스,,기타 식품 제조업
353200,대덕전자,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,KRX 정보기술,전자부품 제조업
353590,오토앤,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 부품 및 내장품 판매업
353810,이지바이오,2026-07-01,필수소비재,"식품,음료,담배",식품,,동물용 사료 및 조제식품 제조
354200,엔젠바이오,2026-07-01,건강관리,제약과생물공학,생명과학도구및서비스,,"그외 기타 전문, 과학 및 기술 서비스업"
354320,알멕,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,1차 비철금속 제조업
355150,코스텍시스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,반도체 제조업
355390,크라우드웍스,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
355690,에이텀,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,전자부품 제조업
356680,엑스게이트,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,소프트웨어 개발 및 공급업
356860,티엘비,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,전자부품 제조업
356890,싸이버원,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
357120,코람코라이프인프라리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
357230,에이치피오,2026-07-01,건강관리,건강관리장비와서비스,건강관리업체및서비스,,기타 식품 제조업
357250,미래에셋맵스리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
357430,마스턴프리미어리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
357550,석경에이티,2026-07-01,소재,소재,화학,,기초 화학물질 제조업
357580,아모센스,2026-07-01,IT,기술하드웨어와장비,핸드셋,,전자부품 제조업
357780,솔브레인,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 에너지화학,기타 화학제품 제조업
357880,SKAI,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
358570,지아이이노베이션,2026-07-01,건강관리,제약과생물공학,생물공학,KRX 헬스케어,자연과학 및 공학 연구개발업
359090,씨엔알리서치,2026-07-01,건강관리,제약과생물공학,제약,,"그외 기타 전문, 과학 및 기술 서비스업"
360070,탑머티리얼,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,일차전지 및 이차전지 제조업
360350,코셈,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
361390,제노코,2026-07-01,산업재,자본재,우주항공과국방,,통신 및 방송 장비 제조업
361570,알비더블유,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트,,오디오물 출판 및 원판 녹음업
361610,SK아이이테크놀로지,2026-07-01,IT,전자와 전기제품,전기제품,KRX 기계장비,일차전지 및 이차전지 제조업
361670,삼영에스앤씨,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,전자부품 제조업
362320,청담글로벌,2026-07-01,경기관련소비재,소매(유통),인터넷과카탈로그소매,,생활용품 도매업
362990,드림인사이트,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,광고,,광고업
363250,진시스템,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
363260,모비데이즈,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,광고,,광고업
363280,티와이홀딩스,2026-07-01,경기관련소비재,"호텔,레스토랑,레저등","호텔,레스토랑,레저",,기타 금융업
364950,에이아이코리아,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,특수 목적용 기계 제조업
365270,큐라클,2026-07-01,건강관리,제약과생물공학,제약,,자연과학 및 공학 연구개발업
365330,에스와이스틸텍,2026-07-01,산업재,자본재,건축자재,,"구조용 금속제품, 탱크 및 증기발생기 제조업"
365340,성일하이텍,2026-07-01,IT,전자와 전기제품,전기제품,,기초 화학물질 제조업
365550,ESR켄달스퀘어리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
365590,하이딥,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,반도체 제조업
365900,브이씨,2026-07-01,경기관련소비재,내구소비재와의류,레저용장비와제품,,운동 및 경기용구 제조업
366030,나인앤컴퍼니,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,의복 액세서리 제조업
367000,플래티어,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
368600,아이씨에이치,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,전자부품 제조업
368770,파이버프로,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
368970,오에스피,2026-07-01,필수소비재,"식품,음료,담배",식품,,동물용 사료 및 조제식품 제조
369370,블리츠웨이엔터테인먼트,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트,,창작 및 예술관련 서비스업
370090,퓨런티어,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
371950,풍원정밀,2026-07-01,IT,디스플레이,디스플레이장비및부품,,전자부품 제조업
372170,윤성에프앤씨,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,특수 목적용 기계 제조업
372320,큐로셀,2026-07-01,건강관리,제약과생물공학,생물공학,KRX 헬스케어,자연과학 및 공학 연구개발업
372800,아이티아이즈,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
372910,한컴라이프케어,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
373110,엑셀세라퓨틱스,2026-07-01,건강관리,제약과생물공학,생물공학,,기초 의약물질 제조업
373160,데이원컴퍼니,2026-07-01,경기관련소비재,교육서비스,교육서비스,,기타 교육기관
373170,엠아이큐브솔루션,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
373200,엑스플러스,2026-07-01,IT,기술하드웨어와장비,핸드셋,,그외 기타 제품 제조업
373220,LG에너지솔루션,2026-07-01,IT,전자와 전기제품,전기제품,KRX 기계장비,일차전지 및 이차전지 제조업
375500,DL이앤씨,2026-07-01,산업재,자본재,건설,KRX 건설,토목 건설업
376180,피코그램,2026-07-01,경기관련소비재,내구소비재와의류,가정용기기와용품,,그외 기타 제품 제조업
376270,HEM파마,2026-07-01,건강관리,건강관리장비와서비스,건강관리업체및서비스,,자연과학 및 공학 연구개발업
376290,씨유테크,2026-07-01,IT,기술하드웨어와장비,핸드셋,,전자부품 제조업
376300,디어유,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,양방향미디어와서비스,KRX K콘텐츠,소프트웨어 개발 및 공급업
376900,로킷헬스케어,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용품 및 기타 의약 관련제품 제조업
376930,노을,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
376980,원티드랩,2026-07-01,산업재,상업서비스와공급품,상업서비스와공급품,,소프트웨어 개발 및 공급업
