종목코드,종목명,적용시작일,WICS대,WICS중,WICS소,KRX섹터,산업분류
000020,동화약품,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000040,KR모터스,2026-07-01,경기관련소비재,자동차와부품,자동차,,그외 기타 운송장비 제조업
000050,경방,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,종합 소매업
000070,삼양홀딩스,2026-07-01,소재,소재,화학,KRX 필수소비재,기타 금융업
000080,하이트진로,2026-07-01,필수소비재,"식품,음료,담배",음료,KRX 필수소비재,알코올음료 제조업
000100,유한양행,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
000120,CJ대한통운,2026-07-01,산업재,운송,항공화물운송과물류,KRX 운송,도로 화물 운송업
000140,하이트진로홀딩스,2026-07-01,필수소비재,"식품,음료,담배",음료,,기타 금융업
000150,두산,2026-07-01,산업재,자본재,복합기업,,전자부품 제조업
000180,성창기업지주,2026-07-01,소재,소재,종이와목재,,회사 본부 및 경영 컨설팅 서비스업
000210,DL,2026-07-01,소재,소재,화학,KRX 에너지화학,기초 화학물질 제조업
000220,유유제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000230,일동홀딩스,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000240,한국앤컴퍼니,2026-07-01,경기관련소비재,자동차와부품,자동차부품,KRX 자동차,기타 금융업
000250,삼천당제약,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
000270,기아,2026-07-01,경기관련소비재,자동차와부품,자동차,KRX 자동차,자동차용 엔진 및 자동차 제조업
000300,DH오토넥스,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
000320,노루홀딩스,2026-07-01,산업재,자본재,건축자재,,기타 금융업
000370,한화손해보험,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
000390,SP삼화,2026-07-01,산업재,자본재,건축자재,,기타 화학제품 제조업
000400,롯데손해보험,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
000430,대원강업,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
000440,중앙에너비스,2026-07-01,에너지,에너지,석유와가스,,기타 전문 도매업
000480,CR홀딩스,2026-07-01,소재,소재,비철금속,,"내화, 비내화 요업제품 제조업"
000490,대동,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
000500,가온전선,2026-07-01,산업재,자본재,전기장비,KRX 기계장비,절연선 및 케이블 제조업
000520,삼일제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000540,흥국화재,2026-07-01,금융,보험,손해보험,,보험업
000590,CS홀딩스,2026-07-01,소재,소재,철강,,기타 금융업
000640,동아쏘시오홀딩스,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,기타 금융업
000650,천일고속,2026-07-01,산업재,운송,도로와철도운송,,육상 여객 운송업
000660,SK하이닉스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 반도체,반도체 제조업
000670,영풍,2026-07-01,IT,기술하드웨어와장비,핸드셋,KRX 철강,1차 비철금속 제조업
000680,LS네트웍스,2026-07-01,금융,증권,증권,,상품 종합 도매업
000700,유수홀딩스,2026-07-01,산업재,운송,항공화물운송과물류,,회사 본부 및 경영 컨설팅 서비스업
000720,현대건설,2026-07-01,산업재,자본재,건설,KRX 건설,토목 건설업
000760,이화산업,2026-07-01,소재,소재,화학,,기타 전문 도매업
000810,삼성화재,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
000850,화천기공,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
000860,강남제비스코,2026-07-01,산업재,자본재,건축자재,,기타 화학제품 제조업
000880,한화,2026-07-01,산업재,자본재,복합기업,,기타 화학제품 제조업
000890,보해양조,2026-07-01,필수소비재,"식품,음료,담배",음료,,알코올음료 제조업
000910,유니온,2026-07-01,산업재,자본재,건축자재,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
000950,전방,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,방적 및 가공사 제조업
000970,한국주철관,2026-07-01,소재,소재,철강,,1차 철강 제조업
000990,DB하이텍,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 반도체,반도체 제조업
001000,신라섬유,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
001020,페이퍼코리아,2026-07-01,소재,소재,종이와목재,,"펄프, 종이 및 판지 제조업"
001040,CJ,2026-07-01,산업재,자본재,복합기업,,기타 금융업
001060,JW중외제약,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
001070,대한방직,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,직물직조 및 직물제품 제조업
001080,만호제강,2026-07-01,소재,소재,철강,,1차 철강 제조업
001120,LX인터내셔널,2026-07-01,산업재,자본재,무역회사와판매업체,,상품 중개업
001130,대한제분,2026-07-01,필수소비재,"식품,음료,담배",식품,,"곡물가공품, 전분 및 전분제품 제조업"
001200,유진투자증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
001210,금호전기,2026-07-01,IT,디스플레이,디스플레이장비및부품,,전구 및 조명장치 제조업
001230,동국홀딩스,2026-07-01,소재,소재,철강,,기타 금융업
001250,GS글로벌,2026-07-01,산업재,자본재,무역회사와판매업체,,상품 종합 도매업
001260,남광토건,2026-07-01,산업재,자본재,건설,,토목 건설업
001270,부국증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
001290,상상인증권,2026-07-01,금융,증권,증권,,금융 지원 서비스업
001340,PKC,2026-07-01,소재,소재,화학,,기초 화학물질 제조업
001360,삼성제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
001380,SG글로벌,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
001390,KG케미칼,2026-07-01,경기관련소비재,자동차와부품,자동차,KRX 철강,기초 화학물질 제조업
001420,태원물산,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
001430,세아베스틸지주,2026-07-01,소재,소재,철강,KRX 철강,1차 철강 제조업
001440,대한전선,2026-07-01,산업재,자본재,전기장비,KRX 기계장비,절연선 및 케이블 제조업
001450,현대해상,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
001460,BYC,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,봉제의복 제조업
001470,삼부토건,2026-07-01,산업재,자본재,건설,,토목 건설업
001500,현대차증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
001510,SK증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
001520,동양,2026-07-01,산업재,자본재,건축자재,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
001530,DI동일,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",KRX 경기소비재,상품 중개업
001540,안국약품,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
001550,조비,2026-07-01,소재,소재,화학,,"비료, 농약 및 살균, 살충제 제조업"
001560,제일연마,2026-07-01,소재,소재,비철금속,,기타 비금속 광물제품 제조업
001570,금양,2026-07-01,소재,소재,화학,,기초 화학물질 제조업
001620,케이비아이동국실업,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
001630,종근당홀딩스,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
001680,대상,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,기타 식품 제조업
001720,신영증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
001740,SK네트웍스,2026-07-01,산업재,자본재,복합기업,,기타 전문 도매업
001750,한양증권,2026-07-01,금융,증권,증권,,금융 지원 서비스업
001770,SHD,2026-07-01,소재,소재,철강,,1차 철강 제조업
001780,알루코,2026-07-01,소재,소재,비철금속,,1차 비철금속 제조업
001790,대한제당,2026-07-01,필수소비재,"식품,음료,담배",식품,,"곡물가공품, 전분 및 전분제품 제조업"
001800,오리온홀딩스,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,기타 금융업
001810,무림SP,2026-07-01,소재,소재,종이와목재,,"펄프, 종이 및 판지 제조업"
001820,삼화콘덴서,2026-07-01,IT,전자와 전기제품,전기제품,,전자부품 제조업
001840,이화공영,2026-07-01,산업재,자본재,건설,,건물 건설업
001940,KISCO홀딩스,2026-07-01,소재,소재,철강,KRX 철강,1차 철강 제조업
002020,코오롱,2026-07-01,산업재,자본재,복합기업,,기타 금융업
002030,아세아,2026-07-01,산업재,자본재,건축자재,,회사 본부 및 경영 컨설팅 서비스업
002070,비비안,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,봉제의복 제조업
002100,경농,2026-07-01,소재,소재,화학,,"비료, 농약 및 살균, 살충제 제조업"
002140,고려산업,2026-07-01,필수소비재,"식품,음료,담배",식품,,"곡물가공품, 전분 및 전분제품 제조업"
002150,도화엔지니어링,2026-07-01,산업재,자본재,건설,,"건축기술, 엔지니어링 및 관련 기술 서비스업"
002170,SYTS,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,"가죽, 가방 및 유사제품 제조업"
002200,한국수출포장,2026-07-01,소재,소재,포장재,,"골판지, 종이 상자 및 종이 용기 제조업"
002210,동성제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
002220,한일철강,2026-07-01,소재,소재,철강,,1차 철강 제조업
002230,피에스텍,2026-07-01,IT,전자와 전기제품,전기제품,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
002240,고려제강,2026-07-01,소재,소재,철강,,1차 철강 제조업
002290,삼일기업공사,2026-07-01,산업재,자본재,건설,,건물 건설업
002310,아세아제지,2026-07-01,소재,소재,포장재,,"골판지, 종이 상자 및 종이 용기 제조업"
002320,한진,2026-07-01,산업재,운송,항공화물운송과물류,KRX 운송,도로 화물 운송업
002350,넥센타이어,2026-07-01,경기관련소비재,자동차와부품,자동차부품,KRX 자동차,고무제품 제조업
002360,SH에너지화학,2026-07-01,소재,소재,화학,,기초 화학물질 제조업
002380,KCC,2026-07-01,산업재,자본재,건축자재,KRX 에너지화학,기타 화학제품 제조업
002390,한독,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
002410,범양건영,2026-07-01,산업재,자본재,건설,,건물 건설업
002420,세기상사,2026-07-01,에너지,에너지,석유와가스,,연료 소매업
002450,삼익악기,2026-07-01,경기관련소비재,내구소비재와의류,레저용장비와제품,,악기 제조업
002460,HS화성,2026-07-01,산업재,자본재,건설,,건물 건설업
002600,조흥,2026-07-01,필수소비재,"식품,음료,담배",식품,,기타 식품 제조업
002620,제일파마홀딩스,2026-07-01,건강관리,제약과생물공학,제약,,회사 본부 및 경영 컨설팅 서비스업
002630,오리엔트바이오,2026-07-01,건강관리,제약과생물공학,생물공학,,의약품 제조업
002680,한탑,2026-07-01,필수소비재,"식품,음료,담배",식품,,"곡물가공품, 전분 및 전분제품 제조업"
002690,동일제강,2026-07-01,소재,소재,철강,,1차 철강 제조업
002700,신일전자,2026-07-01,경기관련소비재,내구소비재와의류,가정용기기와용품,,기계장비 및 관련 물품 도매업
002710,TCC스틸,2026-07-01,소재,소재,철강,KRX 철강,1차 철강 제조업
002720,국제약품,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
002760,보락,2026-07-01,필수소비재,"식품,음료,담배",식품,,기타 화학제품 제조업
002780,진흥기업,2026-07-01,산업재,자본재,건설,,토목 건설업
002790,아모레퍼시픽홀딩스,2026-07-01,경기관련소비재,내구소비재와의류,화장품,KRX 필수소비재,기타 화학제품 제조업
002800,신신제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
002810,삼영무역,2026-07-01,소재,소재,화학,,기타 전문 도매업
002820,SUN&L,2026-07-01,소재,소재,종이와목재,,플라스틱제품 제조업
002840,미원상사,2026-07-01,소재,소재,화학,,기타 화학제품 제조업
002870,신풍,2026-07-01,소재,소재,포장재,,기타 전문 도매업
002880,디와이에이,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
002900,TYM,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
002920,유성기업,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
002960,한국쉘석유,2026-07-01,소재,소재,화학,KRX 에너지화학,석유 정제품 제조업
002990,금호건설,2026-07-01,산업재,자본재,건설,,건물 건설업
003000,부광약품,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
003010,혜인,2026-07-01,산업재,자본재,기계,,기계장비 및 관련 물품 도매업
003030,세아제강지주,2026-07-01,소재,소재,철강,KRX 철강,기타 금융업
003060,에이프로젠바이오로직스,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
003070,코오롱글로벌,2026-07-01,산업재,자본재,건설,,토목 건설업
003080,SB성보,2026-07-01,소재,소재,화학,,"비료, 농약 및 살균, 살충제 제조업"
003090,대웅,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
003100,선광,2026-07-01,산업재,운송,운송인프라,,기타 운송관련 서비스업
003120,일성아이에스,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
003160,디아이,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
003200,일신방직,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,방적 및 가공사 제조업
003220,대원제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
003230,삼양식품,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,기타 식품 제조업
003240,태광산업,2026-07-01,소재,소재,화학,KRX 에너지화학,화학섬유 제조업
003280,흥아해운,2026-07-01,산업재,운송,해운사,KRX 운송,해상 운송업
003300,한일홀딩스,2026-07-01,산업재,자본재,건축자재,KRX 건설,"시멘트, 석회, 플라스터 및 그 제품 제조업"
003310,대주산업,2026-07-01,필수소비재,"식품,음료,담배",식품,,동물용 사료 및 조제식품 제조
003350,한국화장품제조,2026-07-01,경기관련소비재,내구소비재와의류,화장품,,기타 화학제품 제조업
003380,하림지주,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,기타 금융업
003460,유화증권,2026-07-01,금융,증권,증권,,금융 지원 서비스업
003470,유안타증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
003480,한진중공업홀딩스,2026-07-01,유틸리티,유틸리티,가스유틸리티,,연료용 가스 제조 및 배관공급업
003490,대한항공,2026-07-01,산업재,운송,항공사,KRX 운송,항공 여객 운송업
003520,영진약품,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
003530,한화투자증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
003540,대신증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
003550,LG,2026-07-01,산업재,자본재,복합기업,,기타 금융업
003570,SNT다이내믹스,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
003580,HLB글로벌,2026-07-01,경기관련소비재,소매(유통),판매업체,,종합 소매업
003610,방림,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,직물직조 및 직물제품 제조업
003620,KG모빌리티,2026-07-01,경기관련소비재,자동차와부품,자동차,KRX 자동차,자동차용 엔진 및 자동차 제조업
003650,미창석유,2026-07-01,소재,소재,화학,,석유 정제품 제조업
003670,포스코퓨처엠,2026-07-01,소재,소재,화학,KRX 기계장비,일차전지 및 이차전지 제조업
003680,한성기업,2026-07-01,필수소비재,"식품,음료,담배",식품,,수산물 가공 및 저장 처리업
003690,코리안리,2026-07-01,금융,보험,손해보험,KRX 보험,재 보험업
003720,삼영,2026-07-01,소재,소재,화학,,플라스틱제품 제조업
003780,진양산업,2026-07-01,소재,소재,화학,,플라스틱제품 제조업
003800,에이스침대,2026-07-01,산업재,자본재,가구,,가구 제조업
003830,대한화섬,2026-07-01,소재,소재,화학,,화학섬유 제조업
003850,보령,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
003920,남양유업,2026-07-01,필수소비재,"식품,음료,담배",식품,,동·식물성 유지 및 낙농제품 제조업
003960,사조대림,2026-07-01,필수소비재,"식품,음료,담배",식품,,수산물 가공 및 저장 처리업
004000,롯데정밀화학,2026-07-01,소재,소재,화학,KRX 에너지화학,기초 화학물질 제조업
004020,현대제철,2026-07-01,소재,소재,철강,KRX 철강,1차 철강 제조업
004060,SG세계물산,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,상품 종합 도매업
004080,신흥,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,기계장비 및 관련 물품 도매업
004090,한국석유,2026-07-01,소재,소재,화학,,기타 비금속 광물제품 제조업
004100,태양금속,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
004140,동방,2026-07-01,산업재,운송,항공화물운송과물류,,기타 운송관련 서비스업
004150,한솔홀딩스,2026-07-01,산업재,자본재,복합기업,,기타 금융업
004170,신세계,2026-07-01,경기관련소비재,소매(유통),백화점과일반상점,KRX 경기소비재,종합 소매업
004250,NPC,2026-07-01,소재,소재,포장재,,플라스틱제품 제조업
004270,남성,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,기타 전문 도매업
004310,현대약품,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
004360,세방,2026-07-01,산업재,운송,항공화물운송과물류,KRX 운송,도로 화물 운송업
004370,농심,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,기타 식품 제조업
004380,삼익THK,2026-07-01,산업재,자본재,기계,,일반 목적용 기계 제조업
004410,서울식품,2026-07-01,필수소비재,"식품,음료,담배",식품,,기타 식품 제조업
004430,송원산업,2026-07-01,소재,소재,화학,,기타 화학제품 제조업
004440,삼일씨엔에스,2026-07-01,산업재,자본재,건축자재,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004450,삼화왕관,2026-07-01,소재,소재,포장재,,기타 금속 가공제품 제조업
004490,세방전지,2026-07-01,경기관련소비재,자동차와부품,자동차부품,KRX 자동차,일차전지 및 이차전지 제조업
004540,깨끗한나라,2026-07-01,소재,소재,종이와목재,,"펄프, 종이 및 판지 제조업"
004560,현대비앤지스틸,2026-07-01,소재,소재,비철금속,,1차 철강 제조업
004590,한국가구,2026-07-01,필수소비재,식품과기본식료품소매,식품과기본식료품소매,,기타 상품 전문 소매업
004650,창해에탄올,2026-07-01,필수소비재,"식품,음료,담배",음료,,알코올음료 제조업
004690,삼천리,2026-07-01,유틸리티,유틸리티,가스유틸리티,KRX 유틸리티,연료용 가스 제조 및 배관공급업
004700,조광피혁,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",KRX 경기소비재,"가죽, 가방 및 유사제품 제조업"
004710,한솔테크닉스,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,전자부품 제조업
004720,팜젠사이언스,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
004770,써니전자,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,전자부품 제조업
004780,대륙제관,2026-07-01,소재,소재,포장재,,기타 금속 가공제품 제조업
004800,효성,2026-07-01,산업재,자본재,복합기업,,기타 금융업
004830,덕성,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,플라스틱제품 제조업
004840,DRB동일,2026-07-01,소재,소재,화학,,고무제품 제조업
004870,티웨이홀딩스,2026-07-01,산업재,자본재,건축자재,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004890,동일산업,2026-07-01,소재,소재,철강,,1차 철강 제조업
004910,조광페인트,2026-07-01,산업재,자본재,건축자재,,기타 화학제품 제조업
004920,씨아이테크,2026-07-01,IT,기술하드웨어와장비,컴퓨터와주변기기,,영상 및 음향기기 제조업
004960,한신공영,2026-07-01,산업재,자본재,건설,,건물 건설업
004970,신라교역,2026-07-01,필수소비재,"식품,음료,담배",식품,,어로 어업
004980,성신양회,2026-07-01,산업재,자본재,건축자재,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004990,롯데지주,2026-07-01,산업재,자본재,복합기업,,기타 금융업
005010,휴스틸,2026-07-01,소재,소재,철강,,1차 철강 제조업
005030,부산주공,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
005070,코스모신소재,2026-07-01,소재,소재,화학,KRX 정보기술,기타 화학제품 제조업
005090,SGC에너지,2026-07-01,에너지,에너지,에너지장비및서비스,KRX 유틸리티,전기업
005110,한창,2026-07-01,금융,부동산,부동산,,기계장비 및 관련 물품 도매업
005160,동국산업,2026-07-01,소재,소재,철강,,1차 철강 제조업
005180,빙그레,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,동·식물성 유지 및 낙농제품 제조업
005250,녹십자홀딩스,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,회사 본부 및 경영 컨설팅 서비스업
005290,동진쎄미켐,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 에너지화학,기초 화학물질 제조업
005300,롯데칠성,2026-07-01,필수소비재,"식품,음료,담배",음료,KRX 필수소비재,비알코올음료 및 얼음 제조업
005320,온타이드,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,생활용품 도매업
005360,모나미,2026-07-01,경기관련소비재,내구소비재와의류,문구류,,생활용품 도매업
005380,현대차,2026-07-01,경기관련소비재,자동차와부품,자동차,KRX 자동차,자동차용 엔진 및 자동차 제조업
005420,코스모화학,2026-07-01,소재,소재,화학,KRX 에너지화학,기타 화학제품 제조업
005430,한국공항,2026-07-01,산업재,운송,운송인프라,,기타 운송관련 서비스업
005440,현대지에프홀딩스,2026-07-01,산업재,자본재,복합기업,,기타 금융업
005490,POSCO홀딩스,2026-07-01,소재,소재,철강,KRX 철강,1차 철강 제조업
005500,삼진제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
005610,삼립,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,기타 식품 제조업
005670,푸드웰,2026-07-01,필수소비재,"식품,음료,담배",식품,,"과실, 채소 가공 및 저장 처리업"
005680,삼영전자,2026-07-01,IT,전자와 전기제품,전기제품,,전자부품 제조업
005690,파미셀,2026-07-01,소재,소재,화학,KRX 헬스케어,전자부품 제조업
005710,대원산업,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
005720,넥센,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,고무제품 제조업
005740,크라운해태홀딩스,2026-07-01,필수소비재,"식품,음료,담배",식품,,기타 금융업
005750,대림바스,2026-07-01,산업재,자본재,건축제품,,"내화, 비내화 요업제품 제조업"
005800,신영와코루,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,봉제의복 제조업
005810,풍산홀딩스,2026-07-01,소재,소재,비철금속,KRX 철강,기타 금융업
005820,원림,2026-07-01,소재,소재,포장재,,직물직조 및 직물제품 제조업
005830,DB손해보험,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
005850,에스엘,2026-07-01,경기관련소비재,자동차와부품,자동차부품,KRX 자동차,자동차 신품 부품 제조업
005860,한일사료,2026-07-01,필수소비재,"식품,음료,담배",식품,,동물용 사료 및 조제식품 제조
005870,휴니드,2026-07-01,산업재,자본재,우주항공과국방,,통신 및 방송 장비 제조업
005880,대한해운,2026-07-01,산업재,운송,해운사,KRX 운송,해상 운송업
005930,삼성전자,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 반도체,통신 및 방송 장비 제조업
005940,NH투자증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
005950,이수화학,2026-07-01,소재,소재,화학,,기초 화학물질 제조업
005960,동부건설,2026-07-01,산업재,자본재,건설,,토목 건설업
005990,매일홀딩스,2026-07-01,필수소비재,"식품,음료,담배",식품,,동·식물성 유지 및 낙농제품 제조업
006040,동원산업,2026-07-01,필수소비재,"식품,음료,담배",식품,KRX 필수소비재,기타 금융업
006050,국영지앤엠,2026-07-01,산업재,자본재,건축제품,,유리 및 유리제품 제조업
006060,화승인더,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,상품 종합 도매업
006090,사조오양,2026-07-01,필수소비재,"식품,음료,담배",식품,,수산물 가공 및 저장 처리업
006110,삼아알미늄,2026-07-01,소재,소재,비철금속,KRX 철강,1차 비철금속 제조업
006120,SK디스커버리,2026-07-01,에너지,에너지,석유와가스,KRX 에너지화학,기타 금융업
006140,피제이전자,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
006200,한국전자홀딩스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,기타 금융업
006220,제주은행,2026-07-01,금융,은행,은행,KRX 은행,은행 및 저축기관
006260,LS,2026-07-01,산업재,자본재,전기장비,KRX 기계장비,기타 금융업
006280,녹십자,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
006340,대원전선,2026-07-01,산업재,자본재,전기장비,,절연선 및 케이블 제조업
006360,GS건설,2026-07-01,산업재,자본재,건설,KRX 건설,건물 건설업
006370,대구백화점,2026-07-01,경기관련소비재,소매(유통),백화점과일반상점,,종합 소매업
006380,카프로,2026-07-01,소재,소재,화학,,기초 화학물질 제조업
006400,삼성SDI,2026-07-01,IT,전자와 전기제품,전기제품,KRX 정보기술,일차전지 및 이차전지 제조업
006490,프리티,2026-07-01,커뮤니케이션서비스,전기통신서비스,무선통신서비스,,전기 통신업
006570,대림통상,2026-07-01,산업재,자본재,건축제품,,기타 금속 가공제품 제조업
006620,동구바이오제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
006650,대한유화,2026-07-01,소재,소재,화학,KRX 에너지화학,기초 화학물질 제조업
006660,삼성공조,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
006730,서부T&D,2026-07-01,경기관련소비재,"호텔,레스토랑,레저등","호텔,레스토랑,레저",KRX 경기소비재,일반 및 생활 숙박시설 운영업
006740,블루산업개발,2026-07-01,소재,소재,종이와목재,,"골판지, 종이 상자 및 종이 용기 제조업"
006800,미래에셋증권,2026-07-01,금융,증권,증권,KRX 증권,금융 지원 서비스업
006840,AK홀딩스,2026-07-01,소재,소재,화학,,기타 금융업
006880,신송홀딩스,2026-07-01,필수소비재,식품과기본식료품소매,식품과기본식료품소매,,산업용 농·축산물 및 동·식물 도매업
006890,태경케미컬,2026-07-01,소재,소재,화학,,기초 화학물질 제조업
006910,보성파워텍,2026-07-01,산업재,자본재,전기장비,,"구조용 금속제품, 탱크 및 증기발생기 제조업"
006920,모헨즈,2026-07-01,산업재,자본재,건축자재,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
006980,우성,2026-07-01,필수소비재,"식품,음료,담배",식품,,"곡물가공품, 전분 및 전분제품 제조업"
007070,GS리테일,2026-07-01,경기관련소비재,소매(유통),백화점과일반상점,KRX 필수소비재,종합 소매업
007110,일신석재,2026-07-01,산업재,자본재,건축자재,,"건축자재, 철물 및 난방장치 도매업"
007120,미래아이앤지,2026-07-01,IT,소프트웨어와서비스,IT서비스,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
007160,사조산업,2026-07-01,필수소비재,"식품,음료,담배",식품,,수산물 가공 및 저장 처리업
007210,벽산,2026-07-01,산업재,자본재,건축자재,,기타 비금속 광물제품 제조업
007280,한국특강,2026-07-01,소재,소재,철강,,1차 철강 제조업
